N,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
20000,440.002,0.002,0.002,0.001,0.0,0.001,0.001,0.0,0.001,0.0
40000,440.001,0.001,0.001,0.003,0.001,0.002,0.001,0.003,0.003,0.001
60000,440.001,0.001,0.003,0.0,0.001,0.0,0.0,0.001,0.0,0.0
80000,440.0,0.001,0.0,0.001,0.0,0.001,0.002,0.001,0.001,0.002
100000,440.001,0.002,0.001,0.001,0.003,0.001,0.0,0.001,0.0,0.001
120000,440.0,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.0
140000,440.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.003
160000,440.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.002
180000,440.004,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.003
200000,440.061,0.001,0.002,0.002,0.001,0.025,0.002,0.002,0.002,0.002
220000,440.002,0.002,0.002,0.002,0.002,0.002,0.025,0.002,0.002,0.002
240000,440.002,0.002,0.002,0.003,0.002,0.002,0.002,0.036,0.005,0.004
260000,440.004,0.005,0.004,0.004,0.004,0.005,0.004,0.031,0.002,0.003
280000,440.003,0.003,0.003,0.003,0.003,0.002,0.005,0.005,0.006,0.048
300000,440.004,0.005,0.004,0.031,0.006,0.004,0.004,0.003,0.004,0.003
320000,440.003,0.004,0.004,0.004,0.004,0.004,0.063,0.006,0.005,0.006
340000,440.006,0.006,0.006,0.006,0.004,0.004,0.049,0.004,0.004,0.004
360000,440.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.004
380000,440.005,0.074,0.005,0.006,0.005,0.006,0.005,0.006,0.006,0.005
400000,440.006,0.006,0.006,0.006,0.006,0.006,0.006,0.114,0.008,0.007
